LSOA code,season,count
E01000056,1,52
E01000056,2,52
E01000056,3,49
E01000057,1,56
E01000057,2,50
E01000057,3,60
E01000058,1,63
E01000058,2,43
E01000058,3,66
E01000059,1,56
E01000059,2,39
E01000059,3,41
E01000060,1,81
E01000060,2,77
E01000060,3,75
E01000061,1,46
E01000061,2,55
E01000061,3,47
E01000062,1,89
E01000062,2,69
E01000062,3,104
E01000063,1,41
E01000063,2,31
E01000063,3,34
E01000064,1,85
E01000064,2,63
E01000064,3,101
E01000065,1,61
E01000065,2,59
E01000065,3,62
E01000066,1,124
E01000066,2,69
E01000066,3,118
E01000067,1,39
E01000067,2,17
E01000067,3,45
E01000068,1,74
E01000068,2,27
E01000068,3,38
E01000069,1,48
E01000069,2,25
E01000069,3,58
E01000070,1,82
E01000070,2,60
E01000070,3,92
E01000071,1,108
E01000071,2,56
E01000071,3,105
E01000072,1,83
E01000072,2,58
E01000072,3,63
E01000073,1,48
E01000073,2,33
E01000073,3,40
E01000074,1,55
E01000074,2,37
E01000074,3,44
E01000075,1,83
E01000075,2,54
E01000075,3,97
E01000076,1,65
E01000076,2,48
E01000076,3,43
E01000077,1,66
E01000077,2,47
E01000077,3,67
E01000078,1,39
E01000078,2,35
E01000078,3,52
E01000079,1,58
E01000079,2,41
E01000079,3,39
E01000080,1,38
E01000080,2,38
E01000080,3,36
E01000081,1,44
E01000081,2,40
E01000081,3,38
E01000082,1,59
E01000082,2,44
E01000082,3,57
E01000083,1,48
E01000083,2,29
E01000083,3,41
E01000084,1,42
E01000084,2,44
E01000084,3,42
E01000085,1,44
E01000085,2,45
E01000085,3,58
E01000086,1,58
E01000086,2,41
E01000086,3,39
E01000087,1,63
E01000087,2,69
E01000087,3,84
E01000088,1,78
E01000088,2,49
E01000088,3,65
E01000089,1,53
E01000089,2,46
E01000089,3,47
E01000090,1,74
E01000090,2,62
E01000090,3,75
E01000091,1,79
E01000091,2,63
E01000091,3,54
E01000092,1,193
E01000092,2,178
E01000092,3,177
E01000093,1,87
E01000093,2,75
E01000093,3,69
E01000094,1,54
E01000094,2,40
E01000094,3,44
E01000095,1,120
E01000095,2,86
E01000095,3,105
E01000096,1,58
E01000096,2,70
E01000096,3,76
E01000097,1,112
E01000097,2,58
E01000097,3,113
E01000098,1,71
E01000098,2,49
E01000098,3,68
E01000099,1,96
E01000099,2,73
E01000099,3,83
E01000100,1,50
E01000100,2,47
E01000100,3,70
E01000101,1,46
E01000101,2,48
E01000101,3,70
E01000102,1,54
E01000102,2,45
E01000102,3,46
E01000103,1,62
E01000103,2,57
E01000103,3,60
E01000104,1,60
E01000104,2,49
E01000104,3,59
E01000105,1,130
E01000105,2,124
E01000105,3,128
E01000106,1,87
E01000106,2,92
E01000106,3,60
E01000107,1,67
E01000107,2,47
E01000107,3,58
E01000108,1,59
E01000108,2,62
E01000108,3,65
E01000109,1,81
E01000109,2,54
E01000109,3,79
E01000110,1,53
E01000110,2,47
E01000110,3,41
E01000111,1,124
E01000111,2,105
E01000111,3,109
E01000112,1,88
E01000112,2,63
E01000112,3,76
E01000113,1,125
E01000113,2,88
E01000113,3,94
E01000114,1,109
E01000114,2,86
E01000114,3,102
E01000115,1,37
E01000115,2,19
E01000115,3,46
E01000116,1,91
E01000116,2,61
E01000116,3,78
E01000117,1,70
E01000117,2,52
E01000117,3,88
E01000118,1,66
E01000118,2,61
E01000118,3,92
E01000119,1,47
E01000119,2,27
E01000119,3,59
E01000120,1,60
E01000120,2,37
E01000120,3,60
E01000121,1,44
E01000121,2,29
E01000121,3,35
E01000122,1,83
E01000122,2,47
E01000122,3,70
E01000123,1,67
E01000123,2,47
E01000123,3,66
E01000124,1,90
E01000124,2,71
E01000124,3,71
E01000125,1,110
E01000125,2,84
E01000125,3,104
E01000126,1,34
E01000126,2,41
E01000126,3,31
E01000127,1,35
E01000127,2,23
E01000127,3,33
E01000128,1,70
E01000128,2,77
E01000128,3,106
E01000129,1,124
E01000129,2,93
E01000129,3,108
E01000130,1,48
E01000130,2,38
E01000130,3,47
E01000131,1,106
E01000131,2,84
E01000131,3,99
E01000132,1,37
E01000132,2,20
E01000132,3,42
E01000133,1,31
E01000133,2,27
E01000133,3,21
E01000134,1,45
E01000134,2,34
E01000134,3,49
E01000135,1,87
E01000135,2,69
E01000135,3,78
E01000136,1,87
E01000136,2,68
E01000136,3,120
E01000137,1,43
E01000137,2,55
E01000137,3,45
E01000138,1,104
E01000138,2,101
E01000138,3,122
E01000139,1,108
E01000139,2,112
E01000139,3,104
E01000140,1,93
E01000140,2,75
E01000140,3,73
E01000141,1,119
E01000141,2,112
E01000141,3,108
E01000142,1,104
E01000142,2,87
E01000142,3,102
E01000143,1,84
E01000143,2,76
E01000143,3,84
E01000144,1,92
E01000144,2,112
E01000144,3,103
E01000145,1,105
E01000145,2,101
E01000145,3,72
E01000146,1,182
E01000146,2,176
E01000146,3,164
E01000147,1,61
E01000147,2,28
E01000147,3,66
E01000148,1,39
E01000148,2,54
E01000148,3,46
E01000150,1,78
E01000150,2,56
E01000150,3,87
E01000151,1,77
E01000151,2,62
E01000151,3,68
E01000152,1,43
E01000152,2,46
E01000152,3,37
E01000153,1,81
E01000153,2,76
E01000153,3,65
E01000154,1,47
E01000154,2,45
E01000154,3,34
E01000155,1,93
E01000155,2,78
E01000155,3,74
E01000156,1,54
E01000156,2,56
E01000156,3,64
E01000157,1,44
E01000157,2,34
E01000157,3,46
E01000158,1,82
E01000158,2,49
E01000158,3,85
E01000159,1,87
E01000159,2,66
E01000159,3,78
E01000160,1,80
E01000160,2,63
E01000160,3,90
E01000161,1,100
E01000161,2,67
E01000161,3,96
E01000162,1,89
E01000162,2,68
E01000162,3,74
E01000163,1,57
E01000163,2,49
E01000163,3,51
E01000164,1,81
E01000164,2,63
E01000164,3,91
E01000165,1,39
E01000165,2,46
E01000165,3,51
E01000166,1,67
E01000166,2,48
E01000166,3,53
E01000167,1,52
E01000167,2,34
E01000167,3,50
E01000168,1,62
E01000168,2,37
E01000168,3,71
E01000169,1,30
E01000169,2,16
E01000169,3,36
E01000170,1,67
E01000170,2,81
E01000170,3,67
E01000171,1,82
E01000171,2,90
E01000171,3,101
E01000172,1,77
E01000172,2,40
E01000172,3,64
E01000173,1,58
E01000173,2,40
E01000173,3,55
E01000174,1,57
E01000174,2,52
E01000174,3,61
E01000175,1,73
E01000175,2,83
E01000175,3,94
E01000176,1,68
E01000176,2,58
E01000176,3,66
E01000177,1,61
E01000177,2,61
E01000177,3,91
E01000178,1,65
E01000178,2,49
E01000178,3,65
E01000179,1,39
E01000179,2,42
E01000179,3,56
E01000180,1,60
E01000180,2,52
E01000180,3,81
E01000181,1,41
E01000181,2,49
E01000181,3,61
E01000182,1,57
E01000182,2,61
E01000182,3,62
E01000183,1,69
E01000183,2,45
E01000183,3,49
E01000184,1,39
E01000184,2,30
E01000184,3,43
E01000185,1,23
E01000185,2,25
E01000185,3,26
E01000186,1,38
E01000186,2,42
E01000186,3,48
E01000187,1,40
E01000187,2,35
E01000187,3,41
E01000188,1,59
E01000188,2,48
E01000188,3,53
E01000189,1,59
E01000189,2,43
E01000189,3,74
E01000190,1,50
E01000190,2,41
E01000190,3,53
E01000191,1,73
E01000191,2,45
E01000191,3,61
E01000192,1,75
E01000192,2,63
E01000192,3,92
E01000193,1,76
E01000193,2,70
E01000193,3,76
E01000194,1,126
E01000194,2,111
E01000194,3,113
E01000195,1,36
E01000195,2,33
E01000195,3,38
E01000196,1,88
E01000196,2,93
E01000196,3,86
E01000197,1,67
E01000197,2,57
E01000197,3,72
E01000198,1,109
E01000198,2,64
E01000198,3,92
E01000199,1,97
E01000199,2,69
E01000199,3,95
E01000200,1,79
E01000200,2,58
E01000200,3,50
E01000201,1,97
E01000201,2,97
E01000201,3,101
E01000202,1,98
E01000202,2,61
E01000202,3,73
E01000203,1,71
E01000203,2,70
E01000203,3,84
E01000204,1,69
E01000204,2,62
E01000204,3,81
E01000205,1,87
E01000205,2,71
E01000205,3,88
E01000206,1,78
E01000206,2,61
E01000206,3,72
E01000207,1,69
E01000207,2,91
E01000207,3,72
E01000208,1,124
E01000208,2,82
E01000208,3,112
E01000209,1,69
E01000209,2,49
E01000209,3,63
E01000210,1,66
E01000210,2,63
E01000210,3,76
E01000211,1,142
E01000211,2,125
E01000211,3,110
E01000212,1,73
E01000212,2,57
E01000212,3,45
E01000213,1,50
E01000213,2,62
E01000213,3,56
E01000214,1,59
E01000214,2,61
E01000214,3,68
E01000215,1,57
E01000215,2,53
E01000215,3,51
E01000216,1,106
E01000216,2,109
E01000216,3,85
E01000217,1,78
E01000217,2,56
E01000217,3,47
E01000218,1,77
E01000218,2,61
E01000218,3,86
E01000219,1,102
E01000219,2,70
E01000219,3,86
E01000220,1,56
E01000220,2,47
E01000220,3,74
E01000221,1,84
E01000221,2,56
E01000221,3,77
E01000222,1,108
E01000222,2,79
E01000222,3,100
E01000223,1,84
E01000223,2,85
E01000223,3,98
E01000224,1,71
E01000224,2,61
E01000224,3,74
E01000225,1,67
E01000225,2,57
E01000225,3,74
E01000226,1,80
E01000226,2,51
E01000226,3,59
E01000227,1,66
E01000227,2,62
E01000227,3,74
E01000228,1,94
E01000228,2,47
E01000228,3,83
E01000229,1,50
E01000229,2,43
E01000229,3,26
E01000230,1,42
E01000230,2,32
E01000230,3,56
E01000231,1,51
E01000231,2,52
E01000231,3,66
E01000232,1,55
E01000232,2,56
E01000232,3,71
E01000233,1,99
E01000233,2,83
E01000233,3,122
E01000234,1,65
E01000234,2,56
E01000234,3,75
E01000235,1,57
E01000235,2,47
E01000235,3,45
E01000236,1,78
E01000236,2,67
E01000236,3,79
E01000237,1,89
E01000237,2,108
E01000237,3,115
E01000238,1,104
E01000238,2,70
E01000238,3,103
E01000239,1,89
E01000239,2,84
E01000239,3,95
E01000240,1,96
E01000240,2,66
E01000240,3,88
E01000241,1,52
E01000241,2,35
E01000241,3,73
E01000242,1,82
E01000242,2,54
E01000242,3,69
E01000243,1,71
E01000243,2,78
E01000243,3,85
E01000244,1,102
E01000244,2,69
E01000244,3,99
E01000245,1,101
E01000245,2,113
E01000245,3,115
E01000246,1,62
E01000246,2,41
E01000246,3,66
E01000247,1,55
E01000247,2,62
E01000247,3,49
E01000248,1,59
E01000248,2,69
E01000248,3,47
E01000249,1,69
E01000249,2,51
E01000249,3,76
E01000250,1,124
E01000250,2,104
E01000250,3,101
E01000251,1,114
E01000251,2,107
E01000251,3,123
E01000252,1,40
E01000252,2,32
E01000252,3,35
E01000253,1,87
E01000253,2,80
E01000253,3,94
E01000254,1,51
E01000254,2,54
E01000254,3,40
E01000255,1,72
E01000255,2,65
E01000255,3,78
E01000256,1,83
E01000256,2,58
E01000256,3,77
E01000257,1,95
E01000257,2,87
E01000257,3,103
E01000258,1,105
E01000258,2,104
E01000258,3,92
E01000259,1,91
E01000259,2,70
E01000259,3,105
E01000260,1,104
E01000260,2,93
E01000260,3,74
E01000261,1,70
E01000261,2,51
E01000261,3,52
E01000262,1,102
E01000262,2,58
E01000262,3,117
E01000263,1,59
E01000263,2,36
E01000263,3,67
E01000264,1,115
E01000264,2,79
E01000264,3,123
E01000265,1,68
E01000265,2,51
E01000265,3,75
E01000266,1,74
E01000266,2,49
E01000266,3,81
E01000267,1,75
E01000267,2,63
E01000267,3,95
E01000268,1,68
E01000268,2,64
E01000268,3,93
E01000269,1,51
E01000269,2,50
E01000269,3,54
E01000270,1,47
E01000270,2,45
E01000270,3,69
E01000271,1,66
E01000271,2,55
E01000271,3,90
E01000272,1,48
E01000272,2,60
E01000272,3,46
E01000273,1,76
E01000273,2,77
E01000273,3,101
E01000274,1,64
E01000274,2,70
E01000274,3,107
E01000275,1,57
E01000275,2,57
E01000275,3,73
E01000276,1,45
E01000276,2,34
E01000276,3,53
E01000277,1,57
E01000277,2,47
E01000277,3,51
E01000278,1,51
E01000278,2,44
E01000278,3,51
E01000279,1,65
E01000279,2,39
E01000279,3,61
E01000280,1,49
E01000280,2,45
E01000280,3,62
E01000281,1,96
E01000281,2,59
E01000281,3,61
E01000282,1,70
E01000282,2,57
E01000282,3,80
E01000283,1,54
E01000283,2,35
E01000283,3,57
E01000284,1,61
E01000284,2,49
E01000284,3,68
E01000285,1,35
E01000285,2,36
E01000285,3,62
E01000286,1,62
E01000286,2,62
E01000286,3,59
E01000287,1,56
E01000287,2,44
E01000287,3,61
E01000288,1,49
E01000288,2,45
E01000288,3,43
E01000289,1,99
E01000289,2,98
E01000289,3,60
E01000290,1,70
E01000290,2,48
E01000290,3,71
E01000291,1,89
E01000291,2,59
E01000291,3,69
E01000292,1,84
E01000292,2,56
E01000292,3,78
E01000293,1,43
E01000293,2,39
E01000293,3,75
E01000294,1,34
E01000294,2,26
E01000294,3,22
E01000295,1,54
E01000295,2,33
E01000295,3,43
E01000296,1,102
E01000296,2,121
E01000296,3,115
E01000297,1,41
E01000297,2,25
E01000297,3,31
E01000298,1,76
E01000298,2,57
E01000298,3,53
E01000299,1,136
E01000299,2,65
E01000299,3,83
E01000300,1,61
E01000300,2,26
E01000300,3,46
E01000301,1,61
E01000301,2,46
E01000301,3,55
E01000302,1,47
E01000302,2,44
E01000302,3,68
E01000303,1,67
E01000303,2,61
E01000303,3,84
E01000304,1,64
E01000304,2,54
E01000304,3,63
E01000305,1,88
E01000305,2,83
E01000305,3,97
E01000306,1,40
E01000306,2,19
E01000306,3,41
E01000307,1,109
E01000307,2,97
E01000307,3,109
E01000308,1,107
E01000308,2,78
E01000308,3,98
E01000309,1,41
E01000309,2,53
E01000309,3,53
E01000310,1,103
E01000310,2,86
E01000310,3,100
E01000311,1,99
E01000311,2,89
E01000311,3,91
E01000312,1,50
E01000312,2,74
E01000312,3,60
E01000313,1,56
E01000313,2,43
E01000313,3,51
E01000314,1,98
E01000314,2,74
E01000314,3,101
E01000315,1,96
E01000315,2,98
E01000315,3,111
E01000316,1,122
E01000316,2,115
E01000316,3,126
E01000317,1,82
E01000317,2,58
E01000317,3,67
E01000318,1,76
E01000318,2,59
E01000318,3,83
E01000319,1,37
E01000319,2,30
E01000319,3,51
E01000320,1,63
E01000320,2,40
E01000320,3,55
E01000321,1,68
E01000321,2,78
E01000321,3,75
E01000322,1,86
E01000322,2,62
E01000322,3,95
E01000323,1,86
E01000323,2,74
E01000323,3,88
E01000324,1,39
E01000324,2,42
E01000324,3,56
E01000325,1,29
E01000325,2,15
E01000325,3,36
E01000326,1,22
E01000326,2,22
E01000326,3,27
E01000327,1,30
E01000327,2,26
E01000327,3,43
E01000328,1,27
E01000328,2,36
E01000328,3,36
E01000329,1,30
E01000329,2,28
E01000329,3,37
E01000330,1,37
E01000330,2,20
E01000330,3,20
E01000331,1,21
E01000331,2,19
E01000331,3,20
E01000332,1,46
E01000332,2,22
E01000332,3,40
E01000333,1,49
E01000333,2,60
E01000333,3,61
E01000334,1,31
E01000334,2,29
E01000334,3,30
E01000335,1,61
E01000335,2,75
E01000335,3,107
E01000336,1,55
E01000336,2,62
E01000336,3,54
E01000337,1,39
E01000337,2,34
E01000337,3,28
E01000338,1,49
E01000338,2,39
E01000338,3,47
E01000339,1,18
E01000339,2,23
E01000339,3,23
E01000340,1,53
E01000340,2,21
E01000340,3,33
E01000341,1,19
E01000341,2,7
E01000341,3,18
E01000342,1,52
E01000342,2,28
E01000342,3,34
E01000343,1,35
E01000343,2,26
E01000343,3,54
E01000344,1,41
E01000344,2,30
E01000344,3,34
E01000345,1,15
E01000345,2,8
E01000345,3,15
E01000346,1,37
E01000346,2,28
E01000346,3,40
E01000347,1,25
E01000347,2,17
E01000347,3,27
E01000348,1,41
E01000348,2,19
E01000348,3,30
E01000349,1,51
E01000349,2,24
E01000349,3,39
E01000350,1,36
E01000350,2,21
E01000350,3,40
E01000351,1,36
E01000351,2,20
E01000351,3,43
E01000352,1,44
E01000352,2,21
E01000352,3,42
E01000353,1,21
E01000353,2,11
E01000353,3,18
E01000354,1,25
E01000354,2,18
E01000354,3,39
E01000355,1,29
E01000355,2,24
E01000355,3,29
E01000356,1,40
E01000356,2,30
E01000356,3,46
E01000357,1,15
E01000357,2,8
E01000357,3,28
E01000358,1,23
E01000358,2,10
E01000358,3,27
E01000359,1,23
E01000359,2,22
E01000359,3,17
E01000360,1,84
E01000360,2,59
E01000360,3,84
E01000361,1,31
E01000361,2,17
E01000361,3,24
E01000362,1,51
E01000362,2,40
E01000362,3,77
E01000363,1,41
E01000363,2,16
E01000363,3,21
E01000364,1,52
E01000364,2,26
E01000364,3,49
E01000365,1,19
E01000365,2,25
E01000365,3,25
E01000366,1,30
E01000366,2,27
E01000366,3,34
E01000367,1,43
E01000367,2,53
E01000367,3,43
E01000368,1,20
E01000368,2,9
E01000368,3,20
E01000369,1,18
E01000369,2,19
E01000369,3,18
E01000370,1,24
E01000370,2,20
E01000370,3,26
E01000371,1,23
E01000371,2,8
E01000371,3,22
E01000372,1,33
E01000372,2,41
E01000372,3,30
E01000373,1,25
E01000373,2,24
E01000373,3,24
E01000374,1,33
E01000374,2,35
E01000374,3,32
E01000375,1,64
E01000375,2,40
E01000375,3,44
E01000376,1,21
E01000376,2,18
E01000376,3,26
E01000377,1,37
E01000377,2,47
E01000377,3,35
E01000378,1,113
E01000378,2,92
E01000378,3,102
E01000379,1,40
E01000379,2,29
E01000379,3,39
E01000380,1,35
E01000380,2,36
E01000380,3,53
E01000381,1,29
E01000381,2,28
E01000381,3,42
E01000382,1,36
E01000382,2,26
E01000382,3,41
E01000383,1,68
E01000383,2,58
E01000383,3,84
E01000384,1,39
E01000384,2,41
E01000384,3,34
E01000385,1,55
E01000385,2,61
E01000385,3,55
E01000386,1,59
E01000386,2,50
E01000386,3,66
E01000387,1,17
E01000387,2,15
E01000387,3,16
E01000388,1,56
E01000388,2,28
E01000388,3,41
E01000389,1,45
E01000389,2,29
E01000389,3,39
E01000390,1,38
E01000390,2,42
E01000390,3,43
E01000391,1,40
E01000391,2,17
E01000391,3,53
E01000392,1,55
E01000392,2,32
E01000392,3,61
E01000393,1,20
E01000393,2,17
E01000393,3,26
E01000394,1,23
E01000394,2,27
E01000394,3,41
E01000395,1,34
E01000395,2,15
E01000395,3,28
E01000396,1,29
E01000396,2,11
E01000396,3,27
E01000398,1,37
E01000398,2,26
E01000398,3,56
E01000399,1,45
E01000399,2,25
E01000399,3,46
E01000400,1,34
E01000400,2,23
E01000400,3,30
E01000401,1,52
E01000401,2,35
E01000401,3,45
E01000402,1,27
E01000402,2,37
E01000402,3,50
E01000403,1,98
E01000403,2,122
E01000403,3,137
E01000404,1,59
E01000404,2,81
E01000404,3,86
E01000405,1,58
E01000405,2,50
E01000405,3,67
E01000406,1,47
E01000406,2,45
E01000406,3,44
E01000407,1,26
E01000407,2,26
E01000407,3,30
E01000408,1,95
E01000408,2,62
E01000408,3,90
E01000409,1,25
E01000409,2,17
E01000409,3,40
E01000410,1,41
E01000410,2,24
E01000410,3,53
E01000411,1,30
E01000411,2,12
E01000411,3,26
E01000412,1,33
E01000412,2,22
E01000412,3,29
E01000413,1,51
E01000413,2,27
E01000413,3,46
E01000414,1,58
E01000414,2,58
E01000414,3,84
E01000415,1,18
E01000415,2,12
E01000415,3,27
E01000416,1,52
E01000416,2,37
E01000416,3,35
E01000417,1,40
E01000417,2,34
E01000417,3,32
E01000418,1,87
E01000418,2,35
E01000418,3,44
E01000419,1,26
E01000419,2,9
E01000419,3,30
E01000420,1,40
E01000420,2,27
E01000420,3,34
E01000421,1,18
E01000421,2,14
E01000421,3,39
E01000422,1,35
E01000422,2,61
E01000422,3,46
E01000423,1,46
E01000423,2,26
E01000423,3,33
E01000424,1,44
E01000424,2,34
E01000424,3,34
E01000425,1,39
E01000425,2,23
E01000425,3,32
E01000426,1,48
E01000426,2,20
E01000426,3,25
E01000427,1,45
E01000427,2,33
E01000427,3,30
E01000428,1,51
E01000428,2,58
E01000428,3,64
E01000429,1,65
E01000429,2,58
E01000429,3,67
E01000430,1,38
E01000430,2,50
E01000430,3,49
E01000431,1,68
E01000431,2,66
E01000431,3,60
E01000432,1,66
E01000432,2,45
E01000432,3,59
E01000433,1,44
E01000433,2,49
E01000433,3,38
E01000434,1,30
E01000434,2,33
E01000434,3,35
E01000435,1,30
E01000435,2,30
E01000435,3,43
E01000436,1,17
E01000436,2,17
E01000436,3,32
E01000437,1,20
E01000437,2,16
E01000437,3,23
E01000438,1,25
E01000438,2,23
E01000438,3,24
E01000439,1,45
E01000439,2,46
E01000439,3,38
E01000440,1,21
E01000440,2,12
E01000440,3,15
E01000441,1,38
E01000441,2,47
E01000441,3,43
E01000442,1,40
E01000442,2,16
E01000442,3,24
E01000443,1,31
E01000443,2,33
E01000443,3,34
E01000444,1,54
E01000444,2,34
E01000444,3,55
E01000445,1,28
E01000445,2,22
E01000445,3,42
E01000446,1,29
E01000446,2,27
E01000446,3,30
E01000447,1,45
E01000447,2,56
E01000447,3,61
E01000448,1,31
E01000448,2,17
E01000448,3,33
E01000449,1,40
E01000449,2,19
E01000449,3,35
E01000450,1,25
E01000450,2,17
E01000450,3,29
E01000451,1,37
E01000451,2,12
E01000451,3,32
E01000452,1,24
E01000452,2,9
E01000452,3,21
E01000453,1,26
E01000453,2,7
E01000453,3,24
E01000454,1,23
E01000454,2,23
E01000454,3,23
E01000455,1,37
E01000455,2,15
E01000455,3,43
E01000456,1,26
E01000456,2,16
E01000456,3,21
E01000457,1,90
E01000457,2,74
E01000457,3,88
E01000458,1,27
E01000458,2,20
E01000458,3,26
E01000459,1,37
E01000459,2,28
E01000459,3,42
E01000460,1,36
E01000460,2,33
E01000460,3,33
E01000461,1,36
E01000461,2,30
E01000461,3,34
E01000462,1,56
E01000462,2,72
E01000462,3,73
E01000463,1,34
E01000463,2,23
E01000463,3,35
E01000464,1,22
E01000464,2,20
E01000464,3,21
E01000465,1,16
E01000465,2,18
E01000465,3,12
E01000466,1,38
E01000466,2,44
E01000466,3,40
E01000467,1,38
E01000467,2,22
E01000467,3,25
E01000468,1,63
E01000468,2,74
E01000468,3,57
E01000469,1,44
E01000469,2,41
E01000469,3,66
E01000470,1,34
E01000470,2,47
E01000470,3,48
E01000471,1,11
E01000471,2,23
E01000471,3,17
E01000472,1,52
E01000472,2,63
E01000472,3,61
E01000473,1,51
E01000473,2,47
E01000473,3,74
E01000474,1,41
E01000474,2,35
E01000474,3,37
E01000475,1,90
E01000475,2,81
E01000475,3,88
E01000476,1,37
E01000476,2,28
E01000476,3,45
E01000477,1,117
E01000477,2,109
E01000477,3,124
E01000478,1,63
E01000478,2,40
E01000478,3,45
E01000479,1,80
E01000479,2,68
E01000479,3,78
E01000480,1,81
E01000480,2,59
E01000480,3,92
E01000481,1,43
E01000481,2,31
E01000481,3,35
E01000482,1,74
E01000482,2,83
E01000482,3,80
E01000483,1,43
E01000483,2,36
E01000483,3,28
E01000484,1,28
E01000484,2,17
E01000484,3,38
E01000485,1,43
E01000485,2,34
E01000485,3,54
E01000486,1,74
E01000486,2,46
E01000486,3,56
E01000487,1,77
E01000487,2,61
E01000487,3,82
E01000488,1,64
E01000488,2,59
E01000488,3,47
E01000489,1,69
E01000489,2,53
E01000489,3,59
E01000490,1,123
E01000490,2,114
E01000490,3,114
E01000491,1,95
E01000491,2,105
E01000491,3,101
E01000492,1,38
E01000492,2,42
E01000492,3,40
E01000493,1,59
E01000493,2,45
E01000493,3,57
E01000494,1,67
E01000494,2,58
E01000494,3,61
E01000495,1,83
E01000495,2,83
E01000495,3,88
E01000497,1,99
E01000497,2,82
E01000497,3,91
E01000498,1,44
E01000498,2,39
E01000498,3,47
E01000499,1,111
E01000499,2,109
E01000499,3,99
E01000501,1,52
E01000501,2,39
E01000501,3,45
E01000502,1,78
E01000502,2,55
E01000502,3,52
E01000503,1,92
E01000503,2,60
E01000503,3,82
E01000504,1,76
E01000504,2,79
E01000504,3,87
E01000505,1,54
E01000505,2,38
E01000505,3,50
E01000506,1,64
E01000506,2,62
E01000506,3,59
E01000507,1,61
E01000507,2,46
E01000507,3,39
E01000508,1,71
E01000508,2,58
E01000508,3,91
E01000509,1,66
E01000509,2,45
E01000509,3,70
E01000510,1,105
E01000510,2,87
E01000510,3,108
E01000511,1,56
E01000511,2,46
E01000511,3,57
E01000512,1,98
E01000512,2,73
E01000512,3,96
E01000513,1,45
E01000513,2,34
E01000513,3,54
E01000514,1,42
E01000514,2,35
E01000514,3,44
E01000515,1,77
E01000515,2,51
E01000515,3,67
E01000516,1,72
E01000516,2,66
E01000516,3,78
E01000517,1,46
E01000517,2,54
E01000517,3,65
E01000518,1,86
E01000518,2,74
E01000518,3,84
E01000519,1,43
E01000519,2,37
E01000519,3,68
E01000520,1,57
E01000520,2,53
E01000520,3,53
E01000521,1,74
E01000521,2,71
E01000521,3,70
E01000522,1,58
E01000522,2,41
E01000522,3,39
E01000523,1,92
E01000523,2,55
E01000523,3,70
E01000524,1,176
E01000524,2,153
E01000524,3,174
E01000525,1,46
E01000525,2,35
